"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4359027581","linkedin","https://www.linkedin.com/jobs/view/4359027581","","Schülerpraktikum (m/w/d)","Hetzner Finland Oy","Gunzenhausen, Bavaria, Germany","2025-12-21","","","","","","",False,"","","","","","","https://fi.linkedin.com/company/hetzner-finland-oy","","","","","","","","","","","",""
"li-4350258012","linkedin","https://www.linkedin.com/jobs/view/4350258012","","Software­entwickler (w/m/d) - Schwerpunkt: Angular","BRANDAD Group AG","Fürth, Bavaria, Germany","2025-12-19","","","","","","",False,"","","","","","","https://de.linkedin.com/company/brandad-de","","","","","","","","","","","",""
"li-4344997758","linkedin","https://www.linkedin.com/jobs/view/4344997758","","Juju Software Engineer (Go)","Canonical","Nuremberg, Bavaria, Germany","2025-12-19","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/canonical","","","","","","","","","","","",""
"li-4345413778","linkedin","https://www.linkedin.com/jobs/view/4345413778","","UX/UI Test Engineer (w/m/d)","Capgemini","Altdorf, Bavaria, Germany","2025-12-19","","","","","","",False,"","","","","","","https://fr.linkedin.com/company/capgemini","","","","","","","","","","","",""
"li-4350215207","linkedin","https://www.linkedin.com/jobs/view/4350215207","","Ausbildung: Fachinformatiker (m/w/d) für Anwendungsentwicklung","Samhammer AG","Weiden, Bavaria, Germany","2025-12-19","","","","","","",False,"","","","","","","https://de.linkedin.com/company/samhammer","","","","","","","","","","","",""
"li-4344738339","linkedin","https://www.linkedin.com/jobs/view/4344738339","","IT System Engineer (m/w/d) Unified Communication & Collaboration - Röthenbach","Diehl Defence","Röthenbach an der Pegnitz, Bavaria, Germany","2025-12-18","","","","","","",False,"","","","","","","https://de.linkedin.com/company/diehl-defence","","","","","","","","","","","",""
"li-4326734354","linkedin","https://www.linkedin.com/jobs/view/4326734354","","C++ Software Engineer - Junior bis Senior / Banking (all genders)","msg for banking ag","Nuremberg, Bavaria, Germany","2025-12-11","","","","","","",False,"","","","","","","https://de.linkedin.com/company/msgforbanking","","","","","","","","","","","",""
"li-4343044556","linkedin","https://www.linkedin.com/jobs/view/4343044556","","Golang System Software Engineer - Containers / Virtualisation","Canonical","Nuremberg, Bavaria, Germany","2025-12-11","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/canonical","","","","","","","","","","","",""
"li-4348959893","linkedin","https://www.linkedin.com/jobs/view/4348959893","","Java Entwickler (m/w/d)","Allgeier Inovar GmbH","Nuremberg, Bavaria, Germany","2025-12-09","","","","","","",False,"","","","","","","https://de.linkedin.com/company/allgeier-inovar","","","","","","","","","","","",""
"li-4348915213","linkedin","https://www.linkedin.com/jobs/view/4348915213","","Entwicklungsingenieur (m/w/d) Regelungstechnik","Dauer GmbH","Röthenbach an der Pegnitz, Bavaria, Germany","2025-12-09","","","","","","",False,"","","","","","","https://de.linkedin.com/company/dauer-gmbh","","","","","","","","","","","",""
